federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
070-5702,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,65767068.87,4895455.21,59911887.98,0.00,0.00,0.00,0.00,130574412.06,81302583.39,4895455.21,49271828.67,69493561.19,130574412.06
014-5015,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,173858680.72,21873656.93,379980611.05,0.00,0.00,952.77,952.77,575713901.47,402411947.53,21873656.93,173301953.94,285538947.66,575713901.47
014-2640,"Abandoned Well Remediation Fund, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,447121.09,5.27,0.00,0.00,0.00,0.00,0.00,447126.36,285815.33,5.27,161311.03,9415726.69,447126.36
068-0118,"Abatement, Control and Compliance Loan Program, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0.46,-0.39,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.00,0.07
069-0503,"Access Highways to Public Recreation Areas on Certain Lakes, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,352333.19,0.00,0.00,0.00,0.00,0.00,0.00,352333.19,0.00,0.00,352333.19,0.00,352333.19
070-0613,"Acquisition, Construction, and Improvements, Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,1162864889.91,24621859.80,3368289002.00,0.00,0.00,34413899.00,34413899.00,4590189650.71,1622900116.34,70933292.34,2967289534.37,1500533581.99,4590189650.71
070-0510,"Acquisition, Construction, Improvements and Related Expenses, Federal Law Enforcement Training Center, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,91429366.80,1498696.14,5000000.00,0.00,0.00,1412548.27,1412548.27,99340611.21,22940638.81,1502462.82,76399972.40,277490052.76,99340611.21
070-0401,"Acquisition, Construction, Improvements, and Related Expenses, United States Secret Service, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,43183912.09,1450923.29,114153137.00,0.00,0.00,0.00,0.00,158787972.38,108472761.26,1450923.29,50315211.12,64347847.96,158787972.38
012-5208,"Acquisition of Lands for National Forests, Special Acts, Forest Service",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1093788.25,-272563.61,850000.00,0.00,0.00,0.00,0.00,1671224.64,736187.41,17000.00,935037.23,178008.50,1671224.64
012-5216,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,27429074.59,35693.32,4422702.66,0.00,0.00,0.00,0.00,31887470.57,8352712.44,35693.32,23534758.13,3004321.05,31887470.57
072-4590,"Acquisition of Property Revolving Fund, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,46299.08,0.00,0.00,0.00,0.00,0.00,0.00,46299.08,0.00,0.00,46299.08,0.00,46299.08
047-4534,"Acquisition Services Fund, General Services Administration",General Services Administration,General Government,General property and records management,614690814.36,391667526.19,0.00,0.00,0.00,15189267358.17,15189267358.17,16195625698.72,15259707102.12,391667526.19,935918596.60,13251635205.02,16195625698.72
